     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5393,        20,         0,   0.010,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      8192,        38,         0,   0.014,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      1297,         2,         0,   0.012,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      2048,         1,         0,   0.018,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
     11264,        54,         0,   0.019,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      3072,         1,         0,   0.026,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
     16384,        67,         0,   0.027,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      1297,         1,         0,   0.032,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      1297,         1,         0,   0.041,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
       273,         0,         0,   0.018,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
      3072,         3,         0,   0.028,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      1024,         1,         0,   0.025,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
     22528,       100,         0,   0.039,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      1024,         0,         0,   0.031,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      1024,         1,         0,   0.026,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      5120,         7,         0,   0.046,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      1024,         0,         0,   0.029,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      1024,         0,         0,   0.054,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
       273,         0,         0,   0.031,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
     29696,       144,         0,   0.052,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
       273,         0,         0,   0.033,pymatching,d0427ba486b9a3db3bf5ca49a3de548cdf684a56b6308e78746208e43990512d,"{""d"":11,""k"":33}",
       273,         0,         0,   0.032,pymatching,d0427ba486b9a3db3bf5ca49a3de548cdf684a56b6308e78746208e43990512d,"{""d"":11,""k"":33}",
      1024,         1,         0,   0.030,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      2048,         0,         0,   0.052,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      6144,        13,         0,   0.056,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      1024,         0,         0,   0.055,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
      2048,         0,         0,   0.051,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      2048,         0,         0,   0.062,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
     40960,       214,         0,   0.073,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      1024,         0,         0,   0.054,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
      1024,         0,         0,   0.106,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
      1024,         0,         0,   0.101,pymatching,d0427ba486b9a3db3bf5ca49a3de548cdf684a56b6308e78746208e43990512d,"{""d"":11,""k"":33}",
      1024,         0,         0,   0.100,pymatching,d0427ba486b9a3db3bf5ca49a3de548cdf684a56b6308e78746208e43990512d,"{""d"":11,""k"":33}",
      8192,         8,         0,   0.077,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      2048,         0,         0,   0.058,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      3072,         2,         0,   0.078,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      1024,         1,         0,   0.054,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
     58368,       316,         0,   0.104,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      1024,         1,         0,   0.092,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
      1024,         0,         0,   0.054,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
     10240,        52,         0,   0.018,pymatching,439511c4b0028a2d20ec57c25b39f504000484f3ad328dfd28d62ac82f6f4226,"{""d"":3,""k"":9}",
      1024,         0,         0,   0.100,pymatching,d0427ba486b9a3db3bf5ca49a3de548cdf684a56b6308e78746208e43990512d,"{""d"":11,""k"":33}",
      3072,         0,         0,   0.084,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
     11264,         5,         0,   0.106,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      1024,         0,         0,   0.114,pymatching,d0427ba486b9a3db3bf5ca49a3de548cdf684a56b6308e78746208e43990512d,"{""d"":11,""k"":33}",
      3072,         0,         0,   0.078,pymatching,255f0ba87bc6eb022aea18ad80ac3d21d0f69a224d7e5a49b70a16caf760bdda,"{""d"":7,""k"":21}",
      1024,         0,         0,   0.061,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
      1297,         0,         0,   0.013,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      2048,         1,         0,   0.020,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      3072,         3,         0,   0.028,pymatching,7f4daadd76f7d800bbbba92523e3a517735cb3ab5cf78e62f42b876e6f8ccccc,"{""d"":5,""k"":15}",
      1024,         0,         0,   0.099,pymatching,d0427ba486b9a3db3bf5ca49a3de548cdf684a56b6308e78746208e43990512d,"{""d"":11,""k"":33}",
      1024,         0,         0,   0.059,pymatching,44b9cf9b12f8a4a3824c5fe578aa4b94dfb80cca2d8df01b83f7f676f54f746d,"{""d"":9,""k"":27}",
